corpus,id,text,human_score,human_label,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
Amazon Reviews,1_17,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal.,-0.7,NEGATIVE,0.103,0.897,0.0,-0.3182,NEGATIVE
Amazon Reviews,1_18,im a more happier person after discovering the i/p button!,1.75,POSITIVE,0.0,0.693,0.307,0.6105,POSITIVE
Amazon Reviews,1_19,the button was probably accidentally pushed to cause the black screen in the first place.,-0.65,NEGATIVE,0.146,0.854,0.0,-0.34,NEGATIVE
Amazon Reviews,1_20,"but, if you're looking for my opinion of the apex dvd player, i love it!",2.85,POSITIVE,0.0,0.697,0.303,0.7959,POSITIVE
Amazon Reviews,1_21,it practically plays almost everything you give it.,1.75,POSITIVE,0.0,0.778,0.222,0.25,POSITIVE
Amazon Reviews,1_22,i've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor.,1.25,POSITIVE,0.0,0.892,0.108,0.4404,POSITIVE
Amazon Reviews,1_23,for the price it is a well spent investment!,2.2,POSITIVE,0.0,0.77,0.23,0.3382,POSITIVE
Amazon Reviews,1_24,i would recommend buying one.,2.25,POSITIVE,0.0,0.615,0.385,0.3612,POSITIVE
Amazon Reviews,2_1,incredibe price / performance.,2.9,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,2_2,"i've owned 6 or 7 dvd players since 1998.  this is by far the nicest one, in so many ways.",2.8,POSITIVE,0.0,0.856,0.144,0.4939,POSITIVE
Amazon Reviews,2_3,"it's very sleek looking with a very good front panel button layout, and it has a great feature set.",2.4,POSITIVE,0.0,0.7,0.3,0.807,POSITIVE
Amazon Reviews,2_4,its fast-forward and rewind work much more smoothly and consistently than those of other models i've had.,1.45,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,2_5,"it plays alternate video formats (vcds, svcds, cvds) very well.",2.35,POSITIVE,0.0,0.646,0.354,0.5256,POSITIVE
Amazon Reviews,2_6,and amazon.com has it for such a great price -- how can you go wrong?,2.4,POSITIVE,0.153,0.644,0.203,0.25,POSITIVE
Amazon Reviews,2_7,i've bought one for the den and will buy a 2nd one for the bedroom.,2.4,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,2_8,strengths are well listed by other reviewers.,1.3,POSITIVE,0.0,0.51,0.49,0.5859,POSITIVE
Amazon Reviews,2_9,"what got me to buy was the reviewer that said it would play dvd-rs fill of files (e., mp3s).",1.15,POSITIVE,0.0,0.882,0.118,0.34,POSITIVE
Amazon Reviews,2_10,it sure does!,0.65,POSITIVE,0.0,0.436,0.564,0.3802,POSITIVE
Amazon Reviews,2_11,that's a rare and valuable feature.,2.05,POSITIVE,0.0,0.617,0.383,0.4767,POSITIVE
Amazon Reviews,2_12,"i have a dvd burner on my computer and a zillion mp3s, and it's a lot nicer to access them 4.5 gb at a time (dvd-r) than 0.7 gb at a time (cd-r)!",1.4,POSITIVE,0.0,0.909,0.091,0.4926,POSITIVE
Amazon Reviews,2_13,"another nice thing is that the unit has both optical and coax digital audio outputs, though the latter was not mentioned in the literature i'd scanned before buying.",1.35,POSITIVE,0.0,0.906,0.094,0.4215,POSITIVE
Amazon Reviews,2_14,"saved me from having to buy an expensive optical cable, as i already had a coax cable.",0.9,POSITIVE,0.0,0.851,0.149,0.4215,POSITIVE
Amazon Reviews,2_15,"at double-speed (2x forward speed), it still plays mp3s with sound -- they are pitch-corrected and smooth, but twice as fast!",1.75,POSITIVE,0.0,0.918,0.082,0.2003,POSITIVE
Amazon Reviews,2_16,"i wish it would do the same for movies, but that's one rare / cool feature you will have to forgo.",-0.95,NEGATIVE,0.0,0.798,0.202,0.5859,POSITIVE
Amazon Reviews,2_17,"weaknesses are minor: the feel and layout of the remote control are only so-so; it doesn't show the complete filenames of mp3s with really long names; you must cycle through every zoom setting (2x, 3x, 4x, 1/2x, etc.",-0.85,NEGATIVE,0.063,0.937,0.0,-0.3612,NEGATIVE
Amazon Reviews,2_18,) before getting back to normal size [ sorry if i'm just ignorant of a way to get back to 1x quickly ].,0.1,NEUTRAL,0.139,0.861,0.0,-0.34,NEGATIVE
Amazon Reviews,2_19,"if you're a bargain hunter and you want a great feature set for a rock-bottom price, i highly recommend this model.",2.6,POSITIVE,0.0,0.63,0.37,0.8399,POSITIVE
Amazon Reviews,2_20,"update: the finish is more "" mirror "" than silver -- and i like it!",1.95,POSITIVE,0.0,0.834,0.166,0.4199,POSITIVE
Amazon Reviews,3_1,doesnt play new disney movies.,-1.7,NEGATIVE,0.337,0.663,0.0,-0.2584,NEGATIVE
Amazon Reviews,3_2,many of our disney movies don't play on this dvd player.,-1.6,NEGATIVE,0.169,0.831,0.0,-0.2584,NEGATIVE
Amazon Reviews,3_3,i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months.,-1.2,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,4_1,poor quality - problem with dual-layer dvd's.,-2.25,NEGATIVE,0.537,0.463,0.0,-0.7003,NEGATIVE
Amazon Reviews,4_2,"player has a problem with dual-layer dvd's such as alias season 1 and season 2.  for the money, get a better quality player.",-1.9,NEGATIVE,0.102,0.789,0.109,0.0516,POSITIVE
Amazon Reviews,4_3,player works and looks great - if you can get the dvd's to play.,0.25,NEUTRAL,0.0,0.649,0.351,0.7579,POSITIVE
Amazon Reviews,4_4,"i know the saying is "" you get what you pay for "" but at this stage of game dvd players must have better quality than this - there is no excuse.",-2.6,NEGATIVE,0.072,0.82,0.109,0.5134,POSITIVE
Amazon Reviews,4_5,will never purchase apex again.,-3.45,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,4_6,customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them.,-2.3,NEGATIVE,0.0,0.827,0.173,0.5859,POSITIVE
Amazon Reviews,4_7,"pass this player up, and never believe the reviews on a product right before christmas!",-2.05,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,5_1,has destroyed several of my dvds and cds.,-2.75,NEGATIVE,0.314,0.686,0.0,-0.4939,NEGATIVE
Amazon Reviews,5_2,"for the first few weeks, this player was everything i expected it to be, an affordable multi-format dvd player with a stylish slim case as advertised.",1.7,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,5_3,"then my dvds would stop playing in the middle, or not even be read at all.",-2.1,NEGATIVE,0.122,0.778,0.1,-0.1027,NEGATIVE
Amazon Reviews,5_4,new cds almost always began skipping after a few plays.,-1.8,NEGATIVE,0.0,0.818,0.182,0.25,POSITIVE
Amazon Reviews,5_5,"i thought it was just the player, but then i started checking the discs to find that the apex 2600 is actually ruining my media.",-2.55,NEGATIVE,0.094,0.906,0.0,-0.3612,NEGATIVE
Amazon Reviews,5_6,there are funny little ridges on the dvd that look like the slice of a tree trunk!,-0.05,NEUTRAL,0.0,0.725,0.275,0.69,POSITIVE
Amazon Reviews,5_7,this player is not worth any price and i recommend that you don't purchase it.,-3.1,NEGATIVE,0.097,0.757,0.146,0.2105,POSITIVE
Amazon Reviews,5_8,"i intend to contact the company, but from what i've read.",-0.6,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,5_9,i just got screwed out of fifty bucks.,-3.15,NEGATIVE,0.314,0.686,0.0,-0.4939,NEGATIVE
Amazon Reviews,5_10,apex doesn't answer the phone.,-1.6,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,5_11,* sigh.,-0.75,NEGATIVE,0.0,0.476,0.524,0.0258,NEUTRAL
Amazon Reviews,6_1,their customer service sucks.,-2.6,NEGATIVE,0.455,0.545,0.0,-0.3612,NEGATIVE
Amazon Reviews,6_2,no way to contact their customer service.,-1.65,NEGATIVE,0.268,0.732,0.0,-0.296,NEGATIVE
Amazon Reviews,6_3,very bad quality.,-2.8,NEGATIVE,0.655,0.345,0.0,-0.5849,NEGATIVE
Amazon Reviews,7_1,great value.,2.15,POSITIVE,0.0,0.0,1.0,0.7579,POSITIVE
Amazon Reviews,7_2,i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites.,0.65,POSITIVE,0.0,0.76,0.24,0.802,POSITIVE
Amazon Reviews,7_3,i took it to my father's house to play a tom jones concert dvd and he loved the player so much i gave it to him.,2.8,POSITIVE,0.0,0.792,0.208,0.743,POSITIVE
Amazon Reviews,7_4,now i need to buy myself another one!,1.6,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,7_5,have used it frequently and have had no problems.,1.55,POSITIVE,0.0,0.78,0.22,0.3089,POSITIVE
Amazon Reviews,7_6,"i always research electronics online before i buy because even within the same company, some models are better than others.",0.05,NEUTRAL,0.0,0.868,0.132,0.4404,POSITIVE
Amazon Reviews,7_7,i liked this one enough to buy another.,2.05,POSITIVE,0.0,0.714,0.286,0.4215,POSITIVE
Amazon Reviews,7_8,my dad also has an apex tv and it was another great value for the money.,2.3,POSITIVE,0.0,0.683,0.317,0.7579,POSITIVE
Amazon Reviews,7_9,great quality picture and features.,2.7,POSITIVE,0.0,0.494,0.506,0.6249,POSITIVE
Amazon Reviews,8_1,2 out of three ain't good.,-1.8,NEGATIVE,0.325,0.675,0.0,-0.3412,NEGATIVE
Amazon Reviews,8_2,thought i'd weigh in here with my stats.,-0.05,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,8_3,i've bought 3 apex dvd players now.,0.45,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,8_4,"they play just about everything, but # 2 and # 3 died very shortly after getting them.",-1.6,NEGATIVE,0.227,0.694,0.079,-0.6369,NEGATIVE
Amazon Reviews,8_5,"i am back to using # 1.  nice machines, but i consider their quality pretty low now.",-0.55,NEGATIVE,0.116,0.613,0.271,0.5499,POSITIVE
Amazon Reviews,9_1,buy a better known brand name.,-1.8,NEGATIVE,0.0,0.633,0.367,0.4404,POSITIVE
Amazon Reviews,9_2,this item broke just two weeks after i gave it to my kids for christmas.,-2.15,NEGATIVE,0.167,0.833,0.0,-0.4215,NEGATIVE
Amazon Reviews,9_3,the door would not close.,-1.55,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,9_4,i tried to contact apex to return it (i missed the amazon return period) and it took 3 months to get through to their customer service dept.,-2.35,NEGATIVE,0.076,0.865,0.059,-0.128,NEGATIVE
Amazon Reviews,9_5,i am still trying to resolve it four months later.,-2.0,NEGATIVE,0.0,0.776,0.224,0.3818,POSITIVE
Amazon Reviews,10_1,piece of crap... it looks great - and is loaded with features.,-0.7,NEGATIVE,0.156,0.599,0.246,0.3612,POSITIVE
Amazon Reviews,10_2,"unfortunately it turns out to be the "" disposable "" type.",-2.1,NEGATIVE,0.194,0.806,0.0,-0.34,NEGATIVE
Amazon Reviews,10_3,"have had problems since the first day  - not playing some dvds and then finally after less than 60 days, it just would not recognize anything i pop in it.",-2.45,NEGATIVE,0.133,0.867,0.0,-0.5093,NEGATIVE
Amazon Reviews,10_4,save money on the long run - buy something decent once instead of buying cheap every month.,-0.85,NEGATIVE,0.0,0.833,0.167,0.4939,POSITIVE
Amazon Reviews,11_1,i've had no problems.,1.45,POSITIVE,0.0,0.571,0.429,0.3089,POSITIVE
Amazon Reviews,11_2,the apex 2600 has been a steady performer for me.,1.8,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,11_3,"i bought mine in december of 2003, and have had no real problems with it.",1.25,POSITIVE,0.126,0.745,0.129,0.015,NEUTRAL
Amazon Reviews,11_4,it does tend to run quite hot and should be given lots of room for air circulation.,-0.9,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,11_5,"it did also seem to have a strong "" new electronics "" smell for some time.",-0.2,NEUTRAL,0.0,0.82,0.18,0.5106,POSITIVE
Amazon Reviews,11_6,"the only thing i did experience was a problem of the player freezing while playing, which i was able to clear by opening it up and blowing it out with "" canned air.",-1.2,NEGATIVE,0.109,0.773,0.117,0.0772,POSITIVE
Amazon Reviews,11_7,"""  this problem vanished after the first month, so i assume it was a temporary dust issue.",0.05,NEUTRAL,0.144,0.856,0.0,-0.4019,NEGATIVE
Amazon Reviews,11_10,"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist, and i discovered by accident (it is not mentioned anywhere in the literature) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting.",2.05,POSITIVE,0.06,0.848,0.092,0.1779,POSITIVE
Amazon Reviews,11_11,"the remote is okay, but i am not a fan of remotes with tiny buttons.",-0.4,NEUTRAL,0.145,0.77,0.086,-0.2484,NEGATIVE
Amazon Reviews,11_12,"i especially like the more commonly used buttons, such as play, pause, and stop, to be larger and conveniently placed.",1.3,POSITIVE,0.09,0.697,0.213,0.4576,POSITIVE
Amazon Reviews,11_13,"while it is true that it will stand on end, it is also easy to knock over that way.",-0.15,NEUTRAL,0.0,0.749,0.251,0.6908,POSITIVE
Amazon Reviews,11_14,i also didn't like the way it displayed information way down into the screen when you are in zoom mode.,-1.45,NEGATIVE,0.1,0.9,0.0,-0.2755,NEGATIVE
Amazon Reviews,11_15,"the zoom goes up and down in magnification, which is nice, but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings.",-0.05,NEUTRAL,0.0,0.869,0.131,0.5574,POSITIVE
Amazon Reviews,11_16,"having spent considerable time with professional video gear, i find onscreen displays annoying.",-1.25,NEGATIVE,0.184,0.816,0.0,-0.4019,NEGATIVE
Amazon Reviews,11_17,i have not used the progressive scan feature.,0.0,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,11_18,this model has come down in price since i purchased mine.,0.55,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,11_19,"while it seems like some people have had trouble with theirs, mine has run well, and i would recommend it if you are considering a dvd player purchase.",2.0,POSITIVE,0.08,0.71,0.21,0.5267,POSITIVE
Amazon Reviews,11_20,"any possible problems should be weighed against the bang-for-the-buck factor, along with the fact that companies like apex seldom have good after-sale support.",-0.4,NEUTRAL,0.174,0.648,0.177,0.0243,NEUTRAL
Amazon Reviews,11_21,"while i would like to give it 3.5 stars instead of 4, i gave it a 4 because it has run well for me during the time i have owned it.",1.85,POSITIVE,0.0,0.863,0.137,0.5574,POSITIVE
Amazon Reviews,12_1,do not buy this piece of junk.,-3.3,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,12_2,i purchased this unit 3 months back and i think the unit knew when my warrenty expires.,-1.45,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,12_3,it is more than 90 days and it does not show the picture no matter what i do.,-2.2,NEGATIVE,0.059,0.941,0.0,-0.0191,NEUTRAL
Amazon Reviews,12_4,i can only hear the sound.,-1.35,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,12_5,"i changed video cables, tried connecting to tv on input1 and input2 but no help.",-1.4,NEGATIVE,0.171,0.829,0.0,-0.438,NEGATIVE
Amazon Reviews,12_6,i think you get what you pay for stands true.,-0.8,NEGATIVE,0.115,0.656,0.23,0.34,POSITIVE
Amazon Reviews,13_1,nice paperweight.,-2.0,NEGATIVE,0.0,0.263,0.737,0.4215,POSITIVE
Amazon Reviews,13_2,"i have had this player for 3 months and have been able to see a total of 6 dvd's, after the frustration and aggrivation of getting the player to do it's job.",-2.15,NEGATIVE,0.091,0.909,0.0,-0.4767,NEGATIVE
Amazon Reviews,13_3,i have tried many times to get a hold of apex who doesn't seem to answer their emails and telephone number is constantly busy as (i believe) the one lonely customer service rep is probably extremely overworked.,-2.15,NEGATIVE,0.064,0.902,0.034,-0.296,NEGATIVE
Amazon Reviews,13_4,"as i emailed to the the customer service department, the only thing this player has done consistantly is use enought electricity to keep the red led burning.",-2.0,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,13_5,"do yourself a favor and save your money to get something of better quality, or at least works.",-2.9,NEGATIVE,0.0,0.63,0.37,0.8316,POSITIVE
Amazon Reviews,14_1,worst piece of electronics i ever bought.,-3.5,NEGATIVE,0.406,0.594,0.0,-0.6249,NEGATIVE
Amazon Reviews,14_2,"if i could give this a negative rating, i would.",-2.6,NEGATIVE,0.291,0.709,0.0,-0.5719,NEGATIVE
Amazon Reviews,14_3,i am surprised amazon still carries this after all of the continued problems.,-2.35,NEGATIVE,0.166,0.613,0.221,-0.0258,NEUTRAL
Amazon Reviews,14_4,won't play a lot of discs.,-1.9,NEGATIVE,0.289,0.711,0.0,-0.2584,NEGATIVE
Amazon Reviews,14_5,i can only confirm what other customers have said - crap!,-3.05,NEGATIVE,0.224,0.776,0.0,-0.4389,NEGATIVE
Amazon Reviews,14_6,"some movies it played yesterday, it won't play today.",-1.6,NEGATIVE,0.178,0.612,0.21,0.0936,POSITIVE
Amazon Reviews,14_8,tech support from apex is literally - nonexistent.,-2.75,NEGATIVE,0.0,0.722,0.278,0.4019,POSITIVE
Amazon Reviews,14_9,"amazon, do your customers a big favor, don't carry this item, and give them refunds!",-2.45,NEGATIVE,0.0,0.735,0.265,0.5707,POSITIVE
Amazon Reviews,14_10,there should have been a recall on this product.,-2.95,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,14_11,fair warning - do not buy.,-2.55,NEGATIVE,0.276,0.46,0.264,-0.0258,NEUTRAL
Amazon Reviews,14_12,i repeat - don't wast your money.,-2.6,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,15_1,don't buy!,-3.1,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,15_2,i bought 2 of this model for christmas presents and neither one of them work!,-2.7,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,15_3,it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working.,-2.25,NEGATIVE,0.078,0.922,0.0,-0.296,NEGATIVE
Amazon Reviews,15_4,one stopped working in february and the other in march.,-2.25,NEGATIVE,0.174,0.826,0.0,-0.2263,NEGATIVE
Amazon Reviews,15_5,"amazon has been working with me to refund my money, but they reminded me that i have past the 30 day return policy and this was a courtesy return.",-0.55,NEGATIVE,0.0,0.854,0.146,0.5574,POSITIVE
Amazon Reviews,15_6,"i have had great experience with amazon, but i will probably not buy electronics any more from them to avoid any future return problems.",-1.2,NEGATIVE,0.21,0.661,0.129,-0.5346,NEGATIVE
Amazon Reviews,16_1,we had problems.,-1.8,NEGATIVE,0.574,0.426,0.0,-0.4019,NEGATIVE
Amazon Reviews,16_2,the dvd player does not work properly.,-2.15,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,16_3,"the player usually plays dvd's, but has occasional problems such as: 1) not recognizing a dvd 2) stopping a particular point in a movie every time we played it 3) not being able to access certain special features on a rental dvd.",-1.75,NEGATIVE,0.097,0.695,0.208,0.6994,POSITIVE
Amazon Reviews,16_4,"this has happened with several different dvd's and occasionally if we keep trying something, it will work when it did not work one time before.",-1.0,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,16_5,"after we discovered the problems, we tried to contact apex (fkor 3 months), but we never got in touch with them.the customer support telephone number is always busy, and they do not answer their web customer support.",-2.3,NEGATIVE,0.043,0.76,0.197,0.7717,POSITIVE
Amazon Reviews,17_1,ok if you have a 2nd dvd player.,0.05,NEUTRAL,0.0,0.761,0.239,0.296,POSITIVE
Amazon Reviews,17_2,i have had this dvd player for about 3 months now.,0.0,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,17_3,"nothing has broken on it, and it plays all the dvds i have.",1.55,POSITIVE,0.0,0.707,0.293,0.5505,POSITIVE
Amazon Reviews,17_4,unfortunately it can't play all of the dvd.,-1.65,NEGATIVE,0.425,0.575,0.0,-0.5324,NEGATIVE
Amazon Reviews,17_5,i have several tv shows on dvd so they are divided by episode.,0.0,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,17_6,on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd.,-1.4,NEGATIVE,0.0,0.716,0.284,0.6964,POSITIVE
Amazon Reviews,17_7,luckily i also have a ps2 which can play those episodes the player can't.,0.0,NEUTRAL,0.0,0.678,0.322,0.6908,POSITIVE
Amazon Reviews,17_8,"unfortunately i bought a player because the ps2 couldn't play all my dvds, and now the player can't play everything.",-1.75,NEGATIVE,0.276,0.724,0.0,-0.6675,NEGATIVE
Amazon Reviews,18_1,another person who had problem with picture after one use.,-1.8,NEGATIVE,0.231,0.769,0.0,-0.4019,NEGATIVE
Amazon Reviews,18_2,i purchased this as a christmas gift for my husband.,0.2,NEUTRAL,0.0,0.756,0.244,0.4404,POSITIVE
Amazon Reviews,18_3,we tried it out christmas night and it worked great.,2.45,POSITIVE,0.0,0.687,0.313,0.6249,POSITIVE
Amazon Reviews,18_4,even viewed cds full of jpgs.,0.9,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,18_5,"we didn't get to use it again for over a month (sad, i know).",-1.2,NEGATIVE,0.193,0.807,0.0,-0.4767,NEGATIVE
Amazon Reviews,18_6,"but when we went to use it again, there was sound but no picture.",-1.75,NEGATIVE,0.177,0.823,0.0,-0.4215,NEGATIVE
Amazon Reviews,18_7,"we saw reviews that said the same thing, and also saw here that their customer service stinks.",-2.25,NEGATIVE,0.111,0.889,0.0,-0.25,NEGATIVE
Amazon Reviews,18_8,"though we were past the deadline for returns (by a few days), i contacted amazon right away and pleaded for help.",-0.35,NEUTRAL,0.0,0.812,0.188,0.5267,POSITIVE
Amazon Reviews,18_9,"they authorized my late return, and hopefully they are giving apex heck.",0.05,NEUTRAL,0.0,0.662,0.338,0.6249,POSITIVE
Amazon Reviews,18_10,"i hate apex but love amazon, and i tell everyone.",-0.75,NEGATIVE,0.137,0.407,0.456,0.7579,POSITIVE
Amazon Reviews,18_11,do not buy this player.,-2.8,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,18_12,"who knows how many uses you'll get out of it before it craps out, but it probably will.",-1.7,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,19_1,frustrating just hope you never lose / break the remote for this player!,-1.85,NEGATIVE,0.158,0.545,0.297,0.3716,POSITIVE
Amazon Reviews,19_2,"we've purchased 3 universal remotes so far-all claiming to work "" apex "" dvd players and none worked.",-2.1,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,19_3,called customer service and basically was told to either keep buying univ.,-1.4,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,19_4,remotes to try or buy the replacement remote for $ 23 (which is almost half of what i paid for the whole player).,-0.9,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,19_5,if anybody knows of a remote to work this-i'd love to hear from you!,0.25,NEUTRAL,0.0,0.743,0.257,0.6696,POSITIVE
Amazon Reviews,19_6,"(on here of course) also, a couple dvd's wouldn't play and they were new ones!",-1.55,NEGATIVE,0.143,0.857,0.0,-0.3244,NEGATIVE
Amazon Reviews,20_1,poor customer service.,-2.1,NEGATIVE,0.608,0.392,0.0,-0.4767,NEGATIVE
Amazon Reviews,20_2,i had to return the remote on this product because it appeared to be defective.,-1.5,NEGATIVE,0.172,0.828,0.0,-0.4404,NEGATIVE
Amazon Reviews,20_3,it took over 2 months and repeated follow-up to get it replaced.,-1.65,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,20_4,the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line.,-1.9,NEGATIVE,0.0,0.827,0.173,0.5574,POSITIVE
Amazon Reviews,20_5,i would not be inclined to purchase an apex product again.,-2.2,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,21_1,a piece of junk.,-3.35,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,21_2,door broke after a month.,-1.95,NEGATIVE,0.412,0.588,0.0,-0.4215,NEGATIVE
Amazon Reviews,21_3,unit took forever since the begiining to recognize and play discs.,-1.95,NEGATIVE,0.0,0.806,0.194,0.34,POSITIVE
Amazon Reviews,21_4,3 months of use and it no longer recognizes anything.,-2.15,NEGATIVE,0.196,0.804,0.0,-0.296,NEGATIVE
Amazon Reviews,21_5,forget about it.,-1.15,NEGATIVE,0.487,0.513,0.0,-0.2263,NEGATIVE
Amazon Reviews,21_6,it's money down the drain.,-2.65,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,21_7,get cheaper panasonics or toshibas or even sonys.,-1.1,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,22_1,"to quote bart: "" craptacular "".",-3.0,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,22_2,"well, it was nice while it lasted.",-1.05,NEGATIVE,0.0,0.505,0.495,0.5994,POSITIVE
Amazon Reviews,22_3,"after @ 3 months, it stoppped playing higher number scenes on dvds.",-2.05,NEGATIVE,0.0,0.763,0.237,0.2732,POSITIVE
