sentence_id,review_id,text,primary_intent,intent_count,intent_complaint,intent_return_refund,intent_support_contact,intent_shipping,intent_product_quality,intent_price_value,intent_recommendation,intent_neutral_inquiry,escalation_risk,human_score,human_label,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
1_24,1,i would recommend buying one.,recommendation,1,0,0,0,0,0,0,1,0,0,2.25,POSITIVE,0.0,0.615,0.385,0.3612,POSITIVE
2_1,2,incredibe price / performance.,price_value,1,0,0,0,0,0,1,0,0,0,2.9,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
2_2,2,"i've owned 6 or 7 dvd players since 1998.  this is by far the nicest one, in so many ways.",other,0,0,0,0,0,0,0,0,0,0,2.8,POSITIVE,0.0,0.856,0.144,0.4939,POSITIVE
2_3,2,"it's very sleek looking with a very good front panel button layout, and it has a great feature set.",neutral_inquiry,1,0,0,0,0,0,0,0,1,0,2.4,POSITIVE,0.0,0.7,0.3,0.807,POSITIVE
2_4,2,its fast-forward and rewind work much more smoothly and consistently than those of other models i've had.,shipping,1,0,0,0,1,0,0,0,0,0,1.45,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
2_5,2,"it plays alternate video formats (vcds, svcds, cvds) very well.",other,0,0,0,0,0,0,0,0,0,0,2.35,POSITIVE,0.0,0.646,0.354,0.5256,POSITIVE
2_6,2,and amazon.com has it for such a great price -- how can you go wrong?,price_value,1,0,0,0,0,0,1,0,0,0,2.4,POSITIVE,0.153,0.644,0.203,0.25,POSITIVE
2_7,2,i've bought one for the den and will buy a 2nd one for the bedroom.,recommendation,1,0,0,0,0,0,0,1,0,0,2.4,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
2_8,2,strengths are well listed by other reviewers.,other,0,0,0,0,0,0,0,0,0,0,1.3,POSITIVE,0.0,0.51,0.49,0.5859,POSITIVE
2_9,2,"what got me to buy was the reviewer that said it would play dvd-rs fill of files (e., mp3s).",recommendation,1,0,0,0,0,0,0,1,0,0,1.15,POSITIVE,0.0,0.882,0.118,0.34,POSITIVE
2_10,2,it sure does!,other,0,0,0,0,0,0,0,0,0,0,0.65,POSITIVE,0.0,0.436,0.564,0.3802,POSITIVE
2_11,2,that's a rare and valuable feature.,neutral_inquiry,1,0,0,0,0,0,0,0,1,0,2.05,POSITIVE,0.0,0.617,0.383,0.4767,POSITIVE
2_12,2,"i have a dvd burner on my computer and a zillion mp3s, and it's a lot nicer to access them 4.5 gb at a time (dvd-r) than 0.7 gb at a time (cd-r)!",other,0,0,0,0,0,0,0,0,0,0,1.4,POSITIVE,0.0,0.909,0.091,0.4926,POSITIVE
2_13,2,"another nice thing is that the unit has both optical and coax digital audio outputs, though the latter was not mentioned in the literature i'd scanned before buying.",recommendation,1,0,0,0,0,0,0,1,0,0,1.35,POSITIVE,0.0,0.906,0.094,0.4215,POSITIVE
2_14,2,"saved me from having to buy an expensive optical cable, as i already had a coax cable.",price_value,2,0,0,0,0,0,1,1,0,0,0.9,POSITIVE,0.0,0.851,0.149,0.4215,POSITIVE
2_15,2,"at double-speed (2x forward speed), it still plays mp3s with sound -- they are pitch-corrected and smooth, but twice as fast!",shipping,1,0,0,0,1,0,0,0,0,0,1.75,POSITIVE,0.0,0.918,0.082,0.2003,POSITIVE
2_16,2,"i wish it would do the same for movies, but that's one rare / cool feature you will have to forgo.",neutral_inquiry,1,0,0,0,0,0,0,0,1,0,-0.95,NEGATIVE,0.0,0.798,0.202,0.5859,POSITIVE
2_17,2,"weaknesses are minor: the feel and layout of the remote control are only so-so; it doesn't show the complete filenames of mp3s with really long names; you must cycle through every zoom setting (2x, 3x, 4x, 1/2x, etc.",other,0,0,0,0,0,0,0,0,0,0,-0.85,NEGATIVE,0.063,0.937,0.0,-0.3612,NEGATIVE
2_18,2,) before getting back to normal size [ sorry if i'm just ignorant of a way to get back to 1x quickly ].,shipping,1,0,0,0,1,0,0,0,0,0,0.1,NEUTRAL,0.139,0.861,0.0,-0.34,NEGATIVE
2_19,2,"if you're a bargain hunter and you want a great feature set for a rock-bottom price, i highly recommend this model.",price_value,3,0,0,0,0,0,1,1,1,0,2.6,POSITIVE,0.0,0.63,0.37,0.8399,POSITIVE
2_20,2,"update: the finish is more "" mirror "" than silver -- and i like it!",other,0,0,0,0,0,0,0,0,0,0,1.95,POSITIVE,0.0,0.834,0.166,0.4199,POSITIVE
3_1,3,doesnt play new disney movies.,other,0,0,0,0,0,0,0,0,0,0,-1.7,NEGATIVE,0.337,0.663,0.0,-0.2584,NEGATIVE
3_2,3,many of our disney movies don't play on this dvd player.,other,0,0,0,0,0,0,0,0,0,0,-1.6,NEGATIVE,0.169,0.831,0.0,-0.2584,NEGATIVE
3_3,3,i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months.,other,0,0,0,0,0,0,0,0,0,0,-1.2,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
4_1,4,poor quality - problem with dual-layer dvd's.,complaint,2,1,0,0,0,1,0,0,0,0,-2.25,NEGATIVE,0.537,0.463,0.0,-0.7003,NEGATIVE
4_2,4,"player has a problem with dual-layer dvd's such as alias season 1 and season 2.  for the money, get a better quality player.",complaint,3,1,0,0,0,1,1,0,0,0,-1.9,NEGATIVE,0.102,0.789,0.109,0.0516,POSITIVE
4_3,4,player works and looks great - if you can get the dvd's to play.,other,0,0,0,0,0,0,0,0,0,0,0.25,NEUTRAL,0.0,0.649,0.351,0.7579,POSITIVE
4_4,4,"i know the saying is "" you get what you pay for "" but at this stage of game dvd players must have better quality than this - there is no excuse.",product_quality,3,0,0,0,0,1,1,0,1,0,-2.6,NEGATIVE,0.072,0.82,0.109,0.5134,POSITIVE
4_5,4,will never purchase apex again.,recommendation,1,0,0,0,0,0,0,1,0,0,-3.45,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
4_6,4,customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them.,support_contact,2,0,0,1,0,1,0,0,0,0,-2.3,NEGATIVE,0.0,0.827,0.173,0.5859,POSITIVE
4_7,4,"pass this player up, and never believe the reviews on a product right before christmas!",other,0,0,0,0,0,0,0,0,0,0,-2.05,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
5_1,5,has destroyed several of my dvds and cds.,other,0,0,0,0,0,0,0,0,0,0,-2.75,NEGATIVE,0.314,0.686,0.0,-0.4939,NEGATIVE
5_2,5,"for the first few weeks, this player was everything i expected it to be, an affordable multi-format dvd player with a stylish slim case as advertised.",price_value,1,0,0,0,0,0,1,0,0,0,1.7,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
5_3,5,"then my dvds would stop playing in the middle, or not even be read at all.",other,0,0,0,0,0,0,0,0,0,0,-2.1,NEGATIVE,0.122,0.778,0.1,-0.1027,NEGATIVE
5_4,5,new cds almost always began skipping after a few plays.,other,0,0,0,0,0,0,0,0,0,0,-1.8,NEGATIVE,0.0,0.818,0.182,0.25,POSITIVE
5_5,5,"i thought it was just the player, but then i started checking the discs to find that the apex 2600 is actually ruining my media.",other,0,0,0,0,0,0,0,0,0,0,-2.55,NEGATIVE,0.094,0.906,0.0,-0.3612,NEGATIVE
5_6,5,there are funny little ridges on the dvd that look like the slice of a tree trunk!,other,0,0,0,0,0,0,0,0,0,0,-0.05,NEUTRAL,0.0,0.725,0.275,0.69,POSITIVE
5_7,5,this player is not worth any price and i recommend that you don't purchase it.,price_value,2,0,0,0,0,0,1,1,0,0,-3.1,NEGATIVE,0.097,0.757,0.146,0.2105,POSITIVE
5_8,5,"i intend to contact the company, but from what i've read.",support_contact,1,0,0,1,0,0,0,0,0,0,-0.6,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
5_9,5,i just got screwed out of fifty bucks.,other,0,0,0,0,0,0,0,0,0,0,-3.15,NEGATIVE,0.314,0.686,0.0,-0.4939,NEGATIVE
5_10,5,apex doesn't answer the phone.,support_contact,1,0,0,1,0,0,0,0,0,0,-1.6,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
5_11,5,* sigh.,other,0,0,0,0,0,0,0,0,0,0,-0.75,NEGATIVE,0.0,0.476,0.524,0.0258,NEUTRAL
6_1,6,their customer service sucks.,complaint,2,1,0,1,0,0,0,0,0,0,-2.6,NEGATIVE,0.455,0.545,0.0,-0.3612,NEGATIVE
6_2,6,no way to contact their customer service.,support_contact,1,0,0,1,0,0,0,0,0,0,-1.65,NEGATIVE,0.268,0.732,0.0,-0.296,NEGATIVE
6_3,6,very bad quality.,complaint,2,1,0,0,0,1,0,0,0,0,-2.8,NEGATIVE,0.655,0.345,0.0,-0.5849,NEGATIVE
7_1,7,great value.,price_value,1,0,0,0,0,0,1,0,0,0,2.15,POSITIVE,0.0,0.0,1.0,0.7579,POSITIVE
7_2,7,i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites.,price_value,1,0,0,0,0,0,1,0,0,0,0.65,POSITIVE,0.0,0.76,0.24,0.802,POSITIVE
7_3,7,i took it to my father's house to play a tom jones concert dvd and he loved the player so much i gave it to him.,other,0,0,0,0,0,0,0,0,0,0,2.8,POSITIVE,0.0,0.792,0.208,0.743,POSITIVE
7_4,7,now i need to buy myself another one!,recommendation,1,0,0,0,0,0,0,1,0,0,1.6,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
7_5,7,have used it frequently and have had no problems.,complaint,1,1,0,0,0,0,0,0,0,0,1.55,POSITIVE,0.0,0.78,0.22,0.3089,POSITIVE
7_6,7,"i always research electronics online before i buy because even within the same company, some models are better than others.",recommendation,1,0,0,0,0,0,0,1,0,0,0.05,NEUTRAL,0.0,0.868,0.132,0.4404,POSITIVE
7_7,7,i liked this one enough to buy another.,recommendation,1,0,0,0,0,0,0,1,0,0,2.05,POSITIVE,0.0,0.714,0.286,0.4215,POSITIVE
7_8,7,my dad also has an apex tv and it was another great value for the money.,price_value,1,0,0,0,0,0,1,0,0,0,2.3,POSITIVE,0.0,0.683,0.317,0.7579,POSITIVE
7_9,7,great quality picture and features.,product_quality,2,0,0,0,0,1,0,0,1,0,2.7,POSITIVE,0.0,0.494,0.506,0.6249,POSITIVE
8_1,8,2 out of three ain't good.,other,0,0,0,0,0,0,0,0,0,0,-1.8,NEGATIVE,0.325,0.675,0.0,-0.3412,NEGATIVE
8_2,8,thought i'd weigh in here with my stats.,other,0,0,0,0,0,0,0,0,0,0,-0.05,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
8_3,8,i've bought 3 apex dvd players now.,other,0,0,0,0,0,0,0,0,0,0,0.45,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
8_4,8,"they play just about everything, but # 2 and # 3 died very shortly after getting them.",other,0,0,0,0,0,0,0,0,0,0,-1.6,NEGATIVE,0.227,0.694,0.079,-0.6369,NEGATIVE
8_5,8,"i am back to using # 1.  nice machines, but i consider their quality pretty low now.",product_quality,1,0,0,0,0,1,0,0,0,0,-0.55,NEGATIVE,0.116,0.613,0.271,0.5499,POSITIVE
9_1,9,buy a better known brand name.,recommendation,2,0,0,0,0,0,0,1,1,0,-1.8,NEGATIVE,0.0,0.633,0.367,0.4404,POSITIVE
9_2,9,this item broke just two weeks after i gave it to my kids for christmas.,product_quality,1,0,0,0,0,1,0,0,0,0,-2.15,NEGATIVE,0.167,0.833,0.0,-0.4215,NEGATIVE
9_3,9,the door would not close.,other,0,0,0,0,0,0,0,0,0,0,-1.55,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
9_4,9,i tried to contact apex to return it (i missed the amazon return period) and it took 3 months to get through to their customer service dept.,return_refund,2,0,1,1,0,0,0,0,0,0,-2.35,NEGATIVE,0.076,0.865,0.059,-0.128,NEGATIVE
9_5,9,i am still trying to resolve it four months later.,shipping,1,0,0,0,1,0,0,0,0,0,-2.0,NEGATIVE,0.0,0.776,0.224,0.3818,POSITIVE
10_1,10,piece of crap... it looks great - and is loaded with features.,neutral_inquiry,1,0,0,0,0,0,0,0,1,0,-0.7,NEGATIVE,0.156,0.599,0.246,0.3612,POSITIVE
10_2,10,"unfortunately it turns out to be the "" disposable "" type.",other,0,0,0,0,0,0,0,0,0,0,-2.1,NEGATIVE,0.194,0.806,0.0,-0.34,NEGATIVE
10_3,10,"have had problems since the first day  - not playing some dvds and then finally after less than 60 days, it just would not recognize anything i pop in it.",complaint,1,1,0,0,0,0,0,0,0,0,-2.45,NEGATIVE,0.133,0.867,0.0,-0.5093,NEGATIVE
10_4,10,save money on the long run - buy something decent once instead of buying cheap every month.,product_quality,3,0,0,0,0,1,1,1,0,0,-0.85,NEGATIVE,0.0,0.833,0.167,0.4939,POSITIVE
11_1,11,i've had no problems.,complaint,1,1,0,0,0,0,0,0,0,0,1.45,POSITIVE,0.0,0.571,0.429,0.3089,POSITIVE
11_2,11,the apex 2600 has been a steady performer for me.,other,0,0,0,0,0,0,0,0,0,0,1.8,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
11_3,11,"i bought mine in december of 2003, and have had no real problems with it.",complaint,1,1,0,0,0,0,0,0,0,0,1.25,POSITIVE,0.126,0.745,0.129,0.015,NEUTRAL
11_4,11,it does tend to run quite hot and should be given lots of room for air circulation.,other,0,0,0,0,0,0,0,0,0,0,-0.9,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
11_5,11,"it did also seem to have a strong "" new electronics "" smell for some time.",other,0,0,0,0,0,0,0,0,0,0,-0.2,NEUTRAL,0.0,0.82,0.18,0.5106,POSITIVE
11_6,11,"the only thing i did experience was a problem of the player freezing while playing, which i was able to clear by opening it up and blowing it out with "" canned air.",complaint,1,1,0,0,0,0,0,0,0,0,-1.2,NEGATIVE,0.109,0.773,0.117,0.0772,POSITIVE
11_7,11,"""  this problem vanished after the first month, so i assume it was a temporary dust issue.",complaint,1,1,0,0,0,0,0,0,0,1,0.05,NEUTRAL,0.144,0.856,0.0,-0.4019,NEGATIVE
11_10,11,"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist, and i discovered by accident (it is not mentioned anywhere in the literature) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting.",other,0,0,0,0,0,0,0,0,0,0,2.05,POSITIVE,0.06,0.848,0.092,0.1779,POSITIVE
11_11,11,"the remote is okay, but i am not a fan of remotes with tiny buttons.",other,0,0,0,0,0,0,0,0,0,0,-0.4,NEUTRAL,0.145,0.77,0.086,-0.2484,NEGATIVE
11_12,11,"i especially like the more commonly used buttons, such as play, pause, and stop, to be larger and conveniently placed.",neutral_inquiry,1,0,0,0,0,0,0,0,1,0,1.3,POSITIVE,0.09,0.697,0.213,0.4576,POSITIVE
11_13,11,"while it is true that it will stand on end, it is also easy to knock over that way.",other,0,0,0,0,0,0,0,0,0,0,-0.15,NEUTRAL,0.0,0.749,0.251,0.6908,POSITIVE
11_14,11,i also didn't like the way it displayed information way down into the screen when you are in zoom mode.,neutral_inquiry,1,0,0,0,0,0,0,0,1,0,-1.45,NEGATIVE,0.1,0.9,0.0,-0.2755,NEGATIVE
11_15,11,"the zoom goes up and down in magnification, which is nice, but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings.",other,0,0,0,0,0,0,0,0,0,0,-0.05,NEUTRAL,0.0,0.869,0.131,0.5574,POSITIVE
11_16,11,"having spent considerable time with professional video gear, i find onscreen displays annoying.",other,0,0,0,0,0,0,0,0,0,0,-1.25,NEGATIVE,0.184,0.816,0.0,-0.4019,NEGATIVE
11_17,11,i have not used the progressive scan feature.,neutral_inquiry,1,0,0,0,0,0,0,0,1,0,0.0,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
11_18,11,this model has come down in price since i purchased mine.,price_value,2,0,0,0,0,0,1,1,0,0,0.55,POSITIVE,0.0,1.0,0.0,0.0,NEUTRAL
11_19,11,"while it seems like some people have had trouble with theirs, mine has run well, and i would recommend it if you are considering a dvd player purchase.",recommendation,1,0,0,0,0,0,0,1,0,0,2.0,POSITIVE,0.08,0.71,0.21,0.5267,POSITIVE
11_20,11,"any possible problems should be weighed against the bang-for-the-buck factor, along with the fact that companies like apex seldom have good after-sale support.",complaint,1,1,0,0,0,0,0,0,0,0,-0.4,NEUTRAL,0.174,0.648,0.177,0.0243,NEUTRAL
11_21,11,"while i would like to give it 3.5 stars instead of 4, i gave it a 4 because it has run well for me during the time i have owned it.",other,0,0,0,0,0,0,0,0,0,0,1.85,POSITIVE,0.0,0.863,0.137,0.5574,POSITIVE
12_1,12,do not buy this piece of junk.,complaint,2,1,0,0,0,0,0,1,0,0,-3.3,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
12_2,12,i purchased this unit 3 months back and i think the unit knew when my warrenty expires.,recommendation,1,0,0,0,0,0,0,1,0,0,-1.45,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
12_3,12,it is more than 90 days and it does not show the picture no matter what i do.,other,0,0,0,0,0,0,0,0,0,0,-2.2,NEGATIVE,0.059,0.941,0.0,-0.0191,NEUTRAL
12_4,12,i can only hear the sound.,other,0,0,0,0,0,0,0,0,0,0,-1.35,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
12_5,12,"i changed video cables, tried connecting to tv on input1 and input2 but no help.",other,0,0,0,0,0,0,0,0,0,0,-1.4,NEGATIVE,0.171,0.829,0.0,-0.438,NEGATIVE
12_6,12,i think you get what you pay for stands true.,price_value,1,0,0,0,0,0,1,0,0,0,-0.8,NEGATIVE,0.115,0.656,0.23,0.34,POSITIVE
13_1,13,nice paperweight.,other,0,0,0,0,0,0,0,0,0,0,-2.0,NEGATIVE,0.0,0.263,0.737,0.4215,POSITIVE
13_2,13,"i have had this player for 3 months and have been able to see a total of 6 dvd's, after the frustration and aggrivation of getting the player to do it's job.",other,0,0,0,0,0,0,0,0,0,0,-2.15,NEGATIVE,0.091,0.909,0.0,-0.4767,NEGATIVE
13_3,13,i have tried many times to get a hold of apex who doesn't seem to answer their emails and telephone number is constantly busy as (i believe) the one lonely customer service rep is probably extremely overworked.,support_contact,1,0,0,1,0,0,0,0,0,0,-2.15,NEGATIVE,0.064,0.902,0.034,-0.296,NEGATIVE
13_4,13,"as i emailed to the the customer service department, the only thing this player has done consistantly is use enought electricity to keep the red led burning.",support_contact,1,0,0,1,0,0,0,0,0,0,-2.0,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
13_5,13,"do yourself a favor and save your money to get something of better quality, or at least works.",product_quality,2,0,0,0,0,1,1,0,0,0,-2.9,NEGATIVE,0.0,0.63,0.37,0.8316,POSITIVE
14_1,14,worst piece of electronics i ever bought.,complaint,1,1,0,0,0,0,0,0,0,0,-3.5,NEGATIVE,0.406,0.594,0.0,-0.6249,NEGATIVE
14_2,14,"if i could give this a negative rating, i would.",other,0,0,0,0,0,0,0,0,0,0,-2.6,NEGATIVE,0.291,0.709,0.0,-0.5719,NEGATIVE
14_3,14,i am surprised amazon still carries this after all of the continued problems.,complaint,1,1,0,0,0,0,0,0,0,0,-2.35,NEGATIVE,0.166,0.613,0.221,-0.0258,NEUTRAL
14_4,14,won't play a lot of discs.,other,0,0,0,0,0,0,0,0,0,0,-1.9,NEGATIVE,0.289,0.711,0.0,-0.2584,NEGATIVE
14_5,14,i can only confirm what other customers have said - crap!,other,0,0,0,0,0,0,0,0,0,0,-3.05,NEGATIVE,0.224,0.776,0.0,-0.4389,NEGATIVE
14_6,14,"some movies it played yesterday, it won't play today.",other,0,0,0,0,0,0,0,0,0,0,-1.6,NEGATIVE,0.178,0.612,0.21,0.0936,POSITIVE
14_8,14,tech support from apex is literally - nonexistent.,support_contact,1,0,0,1,0,0,0,0,0,0,-2.75,NEGATIVE,0.0,0.722,0.278,0.4019,POSITIVE
14_9,14,"amazon, do your customers a big favor, don't carry this item, and give them refunds!",return_refund,1,0,1,0,0,0,0,0,0,0,-2.45,NEGATIVE,0.0,0.735,0.265,0.5707,POSITIVE
14_10,14,there should have been a recall on this product.,support_contact,1,0,0,1,0,0,0,0,0,0,-2.95,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
14_11,14,fair warning - do not buy.,recommendation,1,0,0,0,0,0,0,1,0,0,-2.55,NEGATIVE,0.276,0.46,0.264,-0.0258,NEUTRAL
14_12,14,i repeat - don't wast your money.,price_value,1,0,0,0,0,0,1,0,0,0,-2.6,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
15_1,15,don't buy!,recommendation,1,0,0,0,0,0,0,1,0,0,-3.1,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
15_2,15,i bought 2 of this model for christmas presents and neither one of them work!,other,0,0,0,0,0,0,0,0,0,0,-2.7,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
15_3,15,it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working.,support_contact,1,0,0,1,0,0,0,0,0,0,-2.25,NEGATIVE,0.078,0.922,0.0,-0.296,NEGATIVE
15_4,15,one stopped working in february and the other in march.,other,0,0,0,0,0,0,0,0,0,0,-2.25,NEGATIVE,0.174,0.826,0.0,-0.2263,NEGATIVE
15_5,15,"amazon has been working with me to refund my money, but they reminded me that i have past the 30 day return policy and this was a courtesy return.",return_refund,2,0,1,0,0,0,1,0,0,0,-0.55,NEGATIVE,0.0,0.854,0.146,0.5574,POSITIVE
15_6,15,"i have had great experience with amazon, but i will probably not buy electronics any more from them to avoid any future return problems.",complaint,3,1,1,0,0,0,0,1,0,0,-1.2,NEGATIVE,0.21,0.661,0.129,-0.5346,NEGATIVE
16_1,16,we had problems.,complaint,1,1,0,0,0,0,0,0,0,0,-1.8,NEGATIVE,0.574,0.426,0.0,-0.4019,NEGATIVE
16_2,16,the dvd player does not work properly.,complaint,1,1,0,0,0,0,0,0,0,0,-2.15,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
16_3,16,"the player usually plays dvd's, but has occasional problems such as: 1) not recognizing a dvd 2) stopping a particular point in a movie every time we played it 3) not being able to access certain special features on a rental dvd.",complaint,2,1,0,0,0,0,0,0,1,0,-1.75,NEGATIVE,0.097,0.695,0.208,0.6994,POSITIVE
16_4,16,"this has happened with several different dvd's and occasionally if we keep trying something, it will work when it did not work one time before.",complaint,1,1,0,0,0,0,0,0,0,0,-1.0,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
16_5,16,"after we discovered the problems, we tried to contact apex (fkor 3 months), but we never got in touch with them.the customer support telephone number is always busy, and they do not answer their web customer support.",complaint,2,1,0,1,0,0,0,0,0,0,-2.3,NEGATIVE,0.043,0.76,0.197,0.7717,POSITIVE
17_1,17,ok if you have a 2nd dvd player.,other,0,0,0,0,0,0,0,0,0,0,0.05,NEUTRAL,0.0,0.761,0.239,0.296,POSITIVE
17_2,17,i have had this dvd player for about 3 months now.,other,0,0,0,0,0,0,0,0,0,0,0.0,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
17_3,17,"nothing has broken on it, and it plays all the dvds i have.",complaint,2,1,0,0,0,1,0,0,0,0,1.55,POSITIVE,0.0,0.707,0.293,0.5505,POSITIVE
17_4,17,unfortunately it can't play all of the dvd.,other,0,0,0,0,0,0,0,0,0,0,-1.65,NEGATIVE,0.425,0.575,0.0,-0.5324,NEGATIVE
