id,human_score,text,corpus,human_label,vader_score,vader_label,distilbert_label,distilbert_score,roberta_label,roberta_score
2_1,2.9,incredibe price / performance.,Amazon,POSITIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
2_2,2.8,"i've owned 6 or 7 dvd players since 1998.  this is by far the nicest one, in so many ways.",Amazon,POSITIVE,1.9756,POSITIVE,POSITIVE,4,NEUTRAL,0
2_3,2.4,"it's very sleek looking with a very good front panel button layout, and it has a great feature set.",Amazon,POSITIVE,3.228,POSITIVE,POSITIVE,4,NEUTRAL,0
2_4,1.45,its fast-forward and rewind work much more smoothly and consistently than those of other models i've had.,Amazon,POSITIVE,0.0,NEUTRAL,POSITIVE,4,NEUTRAL,0
2_5,2.35,"it plays alternate video formats (vcds, svcds, cvds) very well.",Amazon,POSITIVE,2.1024,POSITIVE,POSITIVE,4,NEUTRAL,0
2_6,2.4,and amazon.com has it for such a great price -- how can you go wrong?,Amazon,POSITIVE,1.0,POSITIVE,NEGATIVE,-4,NEUTRAL,0
2_7,2.4,i've bought one for the den and will buy a 2nd one for the bedroom.,Amazon,POSITIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
2_8,1.3,strengths are well listed by other reviewers.,Amazon,POSITIVE,2.3436,POSITIVE,POSITIVE,4,NEUTRAL,0
2_9,1.15,"what got me to buy was the reviewer that said it would play dvd-rs fill of files (e., mp3s).",Amazon,POSITIVE,1.36,POSITIVE,NEGATIVE,-4,NEUTRAL,0
2_10,0.65,it sure does!,Amazon,POSITIVE,1.5208,POSITIVE,POSITIVE,4,NEUTRAL,0
2_11,2.05,that's a rare and valuable feature.,Amazon,POSITIVE,1.9068,POSITIVE,POSITIVE,4,NEUTRAL,0
2_12,1.4,"i have a dvd burner on my computer and a zillion mp3s, and it's a lot nicer to access them 4.5 gb at a time (dvd-r) than 0.7 gb at a time (cd-r)!",Amazon,POSITIVE,1.9704,POSITIVE,POSITIVE,4,NEUTRAL,0
2_13,1.35,"another nice thing is that the unit has both optical and coax digital audio outputs, though the latter was not mentioned in the literature i'd scanned before buying.",Amazon,POSITIVE,1.686,POSITIVE,POSITIVE,4,NEUTRAL,0
2_14,0.9,"saved me from having to buy an expensive optical cable, as i already had a coax cable.",Amazon,POSITIVE,1.686,POSITIVE,NEGATIVE,-4,NEUTRAL,0
2_15,1.75,"at double-speed (2x forward speed), it still plays mp3s with sound -- they are pitch-corrected and smooth, but twice as fast!",Amazon,POSITIVE,0.8012,POSITIVE,POSITIVE,4,NEUTRAL,0
2_16,-0.95,"i wish it would do the same for movies, but that's one rare / cool feature you will have to forgo.",Amazon,NEGATIVE,2.3436,POSITIVE,POSITIVE,4,NEUTRAL,0
2_17,-0.85,"weaknesses are minor: the feel and layout of the remote control are only so-so; it doesn't show the complete filenames of mp3s with really long names; you must cycle through every zoom setting (2x, 3x, 4x, 1/2x, etc.",Amazon,NEGATIVE,-1.4448,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
2_18,0.1,) before getting back to normal size [ sorry if i'm just ignorant of a way to get back to 1x quickly ].,Amazon,NEUTRAL,-1.36,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
2_19,2.6,"if you're a bargain hunter and you want a great feature set for a rock-bottom price, i highly recommend this model.",Amazon,POSITIVE,3.3596,POSITIVE,POSITIVE,4,NEUTRAL,0
2_20,1.95,"update: the finish is more "" mirror "" than silver -- and i like it!",Amazon,POSITIVE,1.6796,POSITIVE,POSITIVE,4,NEUTRAL,0
3_1,-1.7,doesnt play new disney movies.,Amazon,NEGATIVE,-1.0336,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
3_2,-1.6,many of our disney movies don't play on this dvd player.,Amazon,NEGATIVE,-1.0336,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
3_3,-1.2,i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
4_1,-2.25,poor quality - problem with dual-layer dvd's.,Amazon,NEGATIVE,-2.8012,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
4_2,-1.9,"player has a problem with dual-layer dvd's such as alias season 1 and season 2.  for the money, get a better quality player.",Amazon,NEGATIVE,0.2064,POSITIVE,NEGATIVE,-4,NEUTRAL,0
4_3,0.25,player works and looks great - if you can get the dvd's to play.,Amazon,NEUTRAL,3.0316,POSITIVE,POSITIVE,4,NEUTRAL,0
4_4,-2.6,"i know the saying is "" you get what you pay for "" but at this stage of game dvd players must have better quality than this - there is no excuse.",Amazon,NEGATIVE,2.0536,POSITIVE,NEGATIVE,-4,NEUTRAL,0
4_5,-3.45,will never purchase apex again.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
4_6,-2.3,customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them.,Amazon,NEGATIVE,2.3436,POSITIVE,NEGATIVE,-4,NEUTRAL,0
4_7,-2.05,"pass this player up, and never believe the reviews on a product right before christmas!",Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
5_1,-2.75,has destroyed several of my dvds and cds.,Amazon,NEGATIVE,-1.9756,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
5_2,1.7,"for the first few weeks, this player was everything i expected it to be, an affordable multi-format dvd player with a stylish slim case as advertised.",Amazon,POSITIVE,0.0,NEUTRAL,POSITIVE,4,NEUTRAL,0
5_3,-2.1,"then my dvds would stop playing in the middle, or not even be read at all.",Amazon,NEGATIVE,-0.4108,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
5_4,-1.8,new cds almost always began skipping after a few plays.,Amazon,NEGATIVE,1.0,POSITIVE,NEGATIVE,-4,NEUTRAL,0
5_5,-2.55,"i thought it was just the player, but then i started checking the discs to find that the apex 2600 is actually ruining my media.",Amazon,NEGATIVE,-1.4448,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
5_6,-0.05,there are funny little ridges on the dvd that look like the slice of a tree trunk!,Amazon,NEUTRAL,2.76,POSITIVE,POSITIVE,4,NEUTRAL,0
5_7,-3.1,this player is not worth any price and i recommend that you don't purchase it.,Amazon,NEGATIVE,0.842,POSITIVE,NEGATIVE,-4,NEUTRAL,0
5_8,-0.6,"i intend to contact the company, but from what i've read.",Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
5_9,-3.15,i just got screwed out of fifty bucks.,Amazon,NEGATIVE,-1.9756,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
5_10,-1.6,apex doesn't answer the phone.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
5_11,-0.75,* sigh.,Amazon,NEGATIVE,0.1032,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
6_1,-2.6,their customer service sucks.,Amazon,NEGATIVE,-1.4448,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
6_2,-1.65,no way to contact their customer service.,Amazon,NEGATIVE,-1.184,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
6_3,-2.8,very bad quality.,Amazon,NEGATIVE,-2.3396,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
7_1,2.15,great value.,Amazon,POSITIVE,3.0316,POSITIVE,POSITIVE,4,NEUTRAL,0
7_2,0.65,i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites.,Amazon,POSITIVE,3.208,POSITIVE,POSITIVE,4,NEUTRAL,0
7_3,2.8,i took it to my father's house to play a tom jones concert dvd and he loved the player so much i gave it to him.,Amazon,POSITIVE,2.972,POSITIVE,POSITIVE,4,NEUTRAL,0
7_4,1.6,now i need to buy myself another one!,Amazon,POSITIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
7_5,1.55,have used it frequently and have had no problems.,Amazon,POSITIVE,1.2356,POSITIVE,POSITIVE,4,NEUTRAL,0
7_6,0.05,"i always research electronics online before i buy because even within the same company, some models are better than others.",Amazon,NEUTRAL,1.7616,POSITIVE,NEGATIVE,-4,NEUTRAL,0
7_7,2.05,i liked this one enough to buy another.,Amazon,POSITIVE,1.686,POSITIVE,POSITIVE,4,NEUTRAL,0
7_8,2.3,my dad also has an apex tv and it was another great value for the money.,Amazon,POSITIVE,3.0316,POSITIVE,POSITIVE,4,NEUTRAL,0
7_9,2.7,great quality picture and features.,Amazon,POSITIVE,2.4996,POSITIVE,POSITIVE,4,NEUTRAL,0
8_1,-1.8,2 out of three ain't good.,Amazon,NEGATIVE,-1.3648,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
8_2,-0.05,thought i'd weigh in here with my stats.,Amazon,NEUTRAL,0.0,NEUTRAL,POSITIVE,4,NEUTRAL,0
8_3,0.45,i've bought 3 apex dvd players now.,Amazon,NEUTRAL,0.0,NEUTRAL,POSITIVE,4,NEUTRAL,0
8_4,-1.6,"they play just about everything, but # 2 and # 3 died very shortly after getting them.",Amazon,NEGATIVE,-2.5476,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
8_5,-0.55,"i am back to using # 1.  nice machines, but i consider their quality pretty low now.",Amazon,NEGATIVE,2.1996,POSITIVE,NEGATIVE,-4,NEUTRAL,0
9_1,-1.8,buy a better known brand name.,Amazon,NEGATIVE,1.7616,POSITIVE,POSITIVE,4,NEUTRAL,0
9_2,-2.15,this item broke just two weeks after i gave it to my kids for christmas.,Amazon,NEGATIVE,-1.686,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
9_3,-1.55,the door would not close.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
9_4,-2.35,i tried to contact apex to return it (i missed the amazon return period) and it took 3 months to get through to their customer service dept.,Amazon,NEGATIVE,-0.512,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
9_5,-2.0,i am still trying to resolve it four months later.,Amazon,NEGATIVE,1.5272,POSITIVE,NEGATIVE,-4,NEUTRAL,0
10_1,-0.7,piece of crap... it looks great - and is loaded with features.,Amazon,NEGATIVE,1.4448,POSITIVE,POSITIVE,4,NEUTRAL,0
10_2,-2.1,"unfortunately it turns out to be the "" disposable "" type.",Amazon,NEGATIVE,-1.36,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
10_3,-2.45,"have had problems since the first day  - not playing some dvds and then finally after less than 60 days, it just would not recognize anything i pop in it.",Amazon,NEGATIVE,-2.0372,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
10_4,-0.85,save money on the long run - buy something decent once instead of buying cheap every month.,Amazon,NEGATIVE,1.9756,POSITIVE,NEGATIVE,-4,NEUTRAL,0
11_1,1.45,i've had no problems.,Amazon,POSITIVE,1.2356,POSITIVE,POSITIVE,4,NEUTRAL,0
11_2,1.8,the apex 2600 has been a steady performer for me.,Amazon,POSITIVE,0.0,NEUTRAL,POSITIVE,4,NEUTRAL,0
11_3,1.25,"i bought mine in december of 2003, and have had no real problems with it.",Amazon,POSITIVE,0.06,NEUTRAL,POSITIVE,4,NEUTRAL,0
11_4,-0.9,it does tend to run quite hot and should be given lots of room for air circulation.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
11_5,-0.2,"it did also seem to have a strong "" new electronics "" smell for some time.",Amazon,NEUTRAL,2.0424,POSITIVE,POSITIVE,4,NEUTRAL,0
11_6,-1.2,"the only thing i did experience was a problem of the player freezing while playing, which i was able to clear by opening it up and blowing it out with "" canned air.",Amazon,NEGATIVE,0.3088,POSITIVE,NEGATIVE,-4,NEUTRAL,0
11_7,0.05,"""  this problem vanished after the first month, so i assume it was a temporary dust issue.",Amazon,NEUTRAL,-1.6076,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
11_10,2.05,"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist, and i discovered by accident (it is not mentioned anywhere in the literature) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting.",Amazon,POSITIVE,0.7116,POSITIVE,NEGATIVE,-4,NEUTRAL,0
11_11,-0.4,"the remote is okay, but i am not a fan of remotes with tiny buttons.",Amazon,NEUTRAL,-0.9936,NEGATIVE,POSITIVE,4,NEUTRAL,0
11_12,1.3,"i especially like the more commonly used buttons, such as play, pause, and stop, to be larger and conveniently placed.",Amazon,POSITIVE,1.8304,POSITIVE,POSITIVE,4,NEUTRAL,0
11_13,-0.15,"while it is true that it will stand on end, it is also easy to knock over that way.",Amazon,NEUTRAL,2.7632,POSITIVE,NEGATIVE,-4,NEUTRAL,0
11_14,-1.45,i also didn't like the way it displayed information way down into the screen when you are in zoom mode.,Amazon,NEGATIVE,-1.102,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
11_15,-0.05,"the zoom goes up and down in magnification, which is nice, but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings.",Amazon,NEUTRAL,2.2296,POSITIVE,NEGATIVE,-4,NEUTRAL,0
11_16,-1.25,"having spent considerable time with professional video gear, i find onscreen displays annoying.",Amazon,NEGATIVE,-1.6076,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
11_17,0.0,i have not used the progressive scan feature.,Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
11_18,0.55,this model has come down in price since i purchased mine.,Amazon,POSITIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
11_19,2.0,"while it seems like some people have had trouble with theirs, mine has run well, and i would recommend it if you are considering a dvd player purchase.",Amazon,POSITIVE,2.1068,POSITIVE,POSITIVE,4,NEUTRAL,0
11_20,-0.4,"any possible problems should be weighed against the bang-for-the-buck factor, along with the fact that companies like apex seldom have good after-sale support.",Amazon,NEUTRAL,0.0972,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
11_21,1.85,"while i would like to give it 3.5 stars instead of 4, i gave it a 4 because it has run well for me during the time i have owned it.",Amazon,POSITIVE,2.2296,POSITIVE,POSITIVE,4,NEUTRAL,0
12_1,-3.3,do not buy this piece of junk.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
12_2,-1.45,i purchased this unit 3 months back and i think the unit knew when my warrenty expires.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
12_3,-2.2,it is more than 90 days and it does not show the picture no matter what i do.,Amazon,NEGATIVE,-0.0764,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
12_4,-1.35,i can only hear the sound.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
12_5,-1.4,"i changed video cables, tried connecting to tv on input1 and input2 but no help.",Amazon,NEGATIVE,-1.752,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
12_6,-0.8,i think you get what you pay for stands true.,Amazon,NEGATIVE,1.36,POSITIVE,POSITIVE,4,NEUTRAL,0
13_1,-2.0,nice paperweight.,Amazon,NEGATIVE,1.686,POSITIVE,POSITIVE,4,NEUTRAL,0
13_2,-2.15,"i have had this player for 3 months and have been able to see a total of 6 dvd's, after the frustration and aggrivation of getting the player to do it's job.",Amazon,NEGATIVE,-1.9068,NEGATIVE,POSITIVE,4,NEUTRAL,0
13_3,-2.15,i have tried many times to get a hold of apex who doesn't seem to answer their emails and telephone number is constantly busy as (i believe) the one lonely customer service rep is probably extremely overworked.,Amazon,NEGATIVE,-1.184,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
13_4,-2.0,"as i emailed to the the customer service department, the only thing this player has done consistantly is use enought electricity to keep the red led burning.",Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
13_5,-2.9,"do yourself a favor and save your money to get something of better quality, or at least works.",Amazon,NEGATIVE,3.3264,POSITIVE,NEGATIVE,-4,NEUTRAL,0
14_1,-3.5,worst piece of electronics i ever bought.,Amazon,NEGATIVE,-2.4996,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
14_2,-2.6,"if i could give this a negative rating, i would.",Amazon,NEGATIVE,-2.2876,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
14_3,-2.35,i am surprised amazon still carries this after all of the continued problems.,Amazon,NEGATIVE,-0.1032,NEUTRAL,POSITIVE,4,NEUTRAL,0
14_4,-1.9,won't play a lot of discs.,Amazon,NEGATIVE,-1.0336,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
14_5,-3.05,i can only confirm what other customers have said - crap!,Amazon,NEGATIVE,-1.7556,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
14_6,-1.6,"some movies it played yesterday, it won't play today.",Amazon,NEGATIVE,0.3744,POSITIVE,NEGATIVE,-4,NEUTRAL,0
14_8,-2.75,tech support from apex is literally - nonexistent.,Amazon,NEGATIVE,1.6076,POSITIVE,NEGATIVE,-4,NEUTRAL,0
14_9,-2.45,"amazon, do your customers a big favor, don't carry this item, and give them refunds!",Amazon,NEGATIVE,2.2828,POSITIVE,NEGATIVE,-4,NEUTRAL,0
14_10,-2.95,there should have been a recall on this product.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
14_11,-2.55,fair warning - do not buy.,Amazon,NEGATIVE,-0.1032,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
14_12,-2.6,i repeat - don't wast your money.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
15_1,-3.1,don't buy!,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
15_2,-2.7,i bought 2 of this model for christmas presents and neither one of them work!,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
15_3,-2.25,it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working.,Amazon,NEGATIVE,-1.184,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
15_4,-2.25,one stopped working in february and the other in march.,Amazon,NEGATIVE,-0.9052,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
15_5,-0.55,"amazon has been working with me to refund my money, but they reminded me that i have past the 30 day return policy and this was a courtesy return.",Amazon,NEGATIVE,2.2296,POSITIVE,NEGATIVE,-4,NEUTRAL,0
15_6,-1.2,"i have had great experience with amazon, but i will probably not buy electronics any more from them to avoid any future return problems.",Amazon,NEGATIVE,-2.1384,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
16_1,-1.8,we had problems.,Amazon,NEGATIVE,-1.6076,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
16_2,-2.15,the dvd player does not work properly.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
16_3,-1.75,"the player usually plays dvd's, but has occasional problems such as: 1) not recognizing a dvd 2) stopping a particular point in a movie every time we played it 3) not being able to access certain special features on a rental dvd.",Amazon,NEGATIVE,2.7976,POSITIVE,NEGATIVE,-4,NEUTRAL,0
16_4,-1.0,"this has happened with several different dvd's and occasionally if we keep trying something, it will work when it did not work one time before.",Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
16_5,-2.3,"after we discovered the problems, we tried to contact apex (fkor 3 months), but we never got in touch with them.the customer support telephone number is always busy, and they do not answer their web customer support.",Amazon,NEGATIVE,3.0868,POSITIVE,NEGATIVE,-4,NEUTRAL,0
17_1,0.05,ok if you have a 2nd dvd player.,Amazon,NEUTRAL,1.184,POSITIVE,POSITIVE,4,NEUTRAL,0
17_2,0.0,i have had this dvd player for about 3 months now.,Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
17_3,1.55,"nothing has broken on it, and it plays all the dvds i have.",Amazon,POSITIVE,2.202,POSITIVE,NEGATIVE,-4,NEUTRAL,0
17_4,-1.65,unfortunately it can't play all of the dvd.,Amazon,NEGATIVE,-2.1296,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
17_5,0.0,i have several tv shows on dvd so they are divided by episode.,Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
17_6,-1.4,on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd.,Amazon,NEGATIVE,2.7856,POSITIVE,NEGATIVE,-4,NEUTRAL,0
17_7,0.0,luckily i also have a ps2 which can play those episodes the player can't.,Amazon,NEUTRAL,2.7632,POSITIVE,NEGATIVE,-4,NEUTRAL,0
17_8,-1.75,"unfortunately i bought a player because the ps2 couldn't play all my dvds, and now the player can't play everything.",Amazon,NEGATIVE,-2.67,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
18_1,-1.8,another person who had problem with picture after one use.,Amazon,NEGATIVE,-1.6076,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
18_2,0.2,i purchased this as a christmas gift for my husband.,Amazon,NEUTRAL,1.7616,POSITIVE,POSITIVE,4,NEUTRAL,0
18_3,2.45,we tried it out christmas night and it worked great.,Amazon,POSITIVE,2.4996,POSITIVE,POSITIVE,4,NEUTRAL,0
18_4,0.9,even viewed cds full of jpgs.,Amazon,POSITIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
18_5,-1.2,"we didn't get to use it again for over a month (sad, i know).",Amazon,NEGATIVE,-1.9068,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
18_6,-1.75,"but when we went to use it again, there was sound but no picture.",Amazon,NEGATIVE,-1.686,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
18_7,-2.25,"we saw reviews that said the same thing, and also saw here that their customer service stinks.",Amazon,NEGATIVE,-1.0,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
18_8,-0.35,"though we were past the deadline for returns (by a few days), i contacted amazon right away and pleaded for help.",Amazon,NEUTRAL,2.1068,POSITIVE,NEGATIVE,-4,NEUTRAL,0
18_9,0.05,"they authorized my late return, and hopefully they are giving apex heck.",Amazon,NEUTRAL,2.4996,POSITIVE,POSITIVE,4,NEUTRAL,0
18_10,-0.75,"i hate apex but love amazon, and i tell everyone.",Amazon,NEGATIVE,3.0316,POSITIVE,POSITIVE,4,NEUTRAL,0
18_11,-2.8,do not buy this player.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
18_12,-1.7,"who knows how many uses you'll get out of it before it craps out, but it probably will.",Amazon,NEGATIVE,0.0,NEUTRAL,POSITIVE,4,NEUTRAL,0
19_1,-1.85,frustrating just hope you never lose / break the remote for this player!,Amazon,NEGATIVE,1.4864,POSITIVE,POSITIVE,4,NEUTRAL,0
19_2,-2.1,"we've purchased 3 universal remotes so far-all claiming to work "" apex "" dvd players and none worked.",Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
19_3,-1.4,called customer service and basically was told to either keep buying univ.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
19_4,-0.9,remotes to try or buy the replacement remote for $ 23 (which is almost half of what i paid for the whole player).,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
19_5,0.25,if anybody knows of a remote to work this-i'd love to hear from you!,Amazon,NEUTRAL,2.6784,POSITIVE,POSITIVE,4,NEUTRAL,0
19_6,-1.55,"(on here of course) also, a couple dvd's wouldn't play and they were new ones!",Amazon,NEGATIVE,-1.2976,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
20_1,-2.1,poor customer service.,Amazon,NEGATIVE,-1.9068,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
20_2,-1.5,i had to return the remote on this product because it appeared to be defective.,Amazon,NEGATIVE,-1.7616,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
20_3,-1.65,it took over 2 months and repeated follow-up to get it replaced.,Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
